"part","term","statistic","(1) IV (2SLS)","(2) CF","(3) First Stage"
"estimates","PMG (IV 2SLS)","estimate","0.958***","",""
"estimates","PMG (IV 2SLS)","std.error","(0.357)","",""
"estimates","PMG (Control Fn.)","estimate","","0.178**",""
"estimates","PMG (Control Fn.)","std.error","","(0.081)",""
"estimates","Instrument: Older Product (I)","estimate","","","0.108***"
"estimates","Instrument: Older Product (I)","std.error","","","(0.021)"
"gof","Num.Obs.","","13542","13542","13542"
"manual","Controls","","YES","YES","YES"
"manual","Product FE","","YES","YES","YES"
"manual","Day FE","","YES","YES","YES"
"manual","Retailer x Month FE","","YES","YES","YES"
