="Table 1: Summary Statistics"
="",="(1)",="",=""
="",="",="",=""
="",="Mean",="SD",="N"
="Provider Retailing Price",="268.32",="320.77",="13542"
="Popularity Index",="0.26",="0.30",="13542"
="Visibility Index",="0.78",="0.27",="13542"
="Rating",="4.15",="0.62",="13542"
="Panel: Full Sample"
="",="(1)",="",=""
="",="",="",=""
="",="Mean",="SD",="N"
="Provider Retailing Price",="253.15",="302.39",="4514"
="Popularity Index",="0.20",="0.23",="4514"
="Visibility Index",="0.64",="0.36",="4514"
="Rating",="4.15",="0.83",="4514"
="Treatment duration - Number of days",="30.87",="28.78",="4514"
="Number of times the policy has been implemented",="2.80",="1.86",="4514"
="Panel: NewEgg Sample"
="",="(1)",="",=""
="",="",="",=""
="",="Mean",="SD",="N"
="Provider Retailing Price",="298.00",="343.85",="4514"
="Popularity Index",="0.26",="0.30",="4514"
="Visibility Index",="0.85",="0.17",="4514"
="Rating",="4.14",="0.48",="4514"
="Panel: Amazon UK Sample"
="",="(1)",="",=""
="",="",="",=""
="",="Mean",="SD",="N"
="Provider Retailing Price",="253.81",="312.63",="4514"
="Popularity Index",="0.32",="0.34",="4514"
="Visibility Index",="0.85",="0.17",="4514"
="Rating",="4.16",="0.48",="4514"
="Panel: Amazon US Sample"
